reviewText,unixReviewTime,reviewTime
This is a great Paul Newman classic.  It is a great movie to watch again and again. You won't regret it.,1364256000,"03 26, 2013"
kinda boring lifetime movie but I got it for my mom and she loved it,1441929600,"09 11, 2015"
Dreadful,1448582400,"11 27, 2015"
"Quick shipping, All that I expected, and Jane Fonda ! Thank you.",1515196800,"01 6, 2018"
"DIDN'T LIKE AT ALL.......NOT ONE OF HER BEST MOVIES AND SO MANY ""F"" WORD EVERY 5 SECONDS & SORRY I PURCHASE THIS MOVIE!!!",1364515200,"03 29, 2013"
"If you like being scared by a movie, this one will work for you.",1444521600,"10 11, 2015"
Okay movie..not as funny as I thought it would be.,1444521600,"10 11, 2015"
It is an ok for $3 but I would never buy it and I am glad I did not go to the movie theater.  Do not bother buy it unless it is $5 or less.,1412380800,"10 4, 2014"
Didn't finish watching it.,1456531200,"02 27, 2016"
ok,1418428800,"12 13, 2014"
It was an ok movie,1449014400,"12 2, 2015"
"Slow and lacking momentum, this movie sells the talents of Mr. Williams short.",1442275200,"09 15, 2015"
confusing.  not a cohesive story.,1465948800,"06 15, 2016"
"Suspecion is a great edition to add to your Hitchcock collection. This film has been great acclaimed for the use of its symbollic visual concept with shaply shadows and the penatrating use of lighting. Hithc never fails to show is creative side with the camera which can also highten the motivation for the audiance.Storyline wasn't increbibly gripping like Notorious, also starring Cary Grant, but it still deserves a great review.Kudos.",1209859200,"05 4, 2008"
"doesnt hold interest, too dragged out",1406419200,"07 27, 2014"
it was good for the price,1441843200,"09 10, 2015"
Second time to buy this great movie,1454371200,"02 2, 2016"
I liked the cinematography and the sound track. The acting was pretty decent and I have to say it again. LOVED THE SOUNDTRACK.,1464048000,"05 24, 2016"
out of all the movies only 3 were really good. the quality was a bit shaky on some of the older movies. compared to the others its okay,1367193600,"04 29, 2013"
I had not seen this movie since I was a little girl. It was one of my favorite movies growing up and I'm glad that I was able to watch it again and now with my son who really enjoyed it. Made for a really great movie night with my family.,1436227200,"07 7, 2015"
"I like Chinese and Korean martial arts films. Some are very good, and some are awful, but this was just okay. The acting was pretty amateurish and recognizable and the sets and costumes are B movie quality.",1483401600,"01 3, 2017"
"OK, but kind of boring",1491350400,"04 5, 2017"
Same as the others...ok movie...great price on Amazon,1472428800,"08 29, 2016"
The disc and packaging is great.  The review goes towards the movie.  Eh?  It was OK.  It'll be awhile til I watch it again.,1483574400,"01 5, 2017"
"Very slow the first half of movie, but a good movie to watch if you don't have to pay to rent it.",1431820800,"05 17, 2015"
"I liked everything about it. Thanks for the VHS. If you have any others, please let me know! Miss Marple or Poirot!",1398902400,"05 1, 2014"
The movies are okay,1470787200,"08 10, 2016"
Not too good.,1438300800,"07 31, 2015"
"This movie was a big let-down. I LOVED the first two Mummy movies in the series and could watch them over and over. This one was written so bad that the lines could be laughed at throughout the entire thing (and I don't mean the comedic lines). The wife is a different person and is awful, son talks like John Wayne and is too old compared to the years that went by, and Jet Li was barely in the movie/had any lines. The special effects in this movie were mediocre in 1995 and that's saying something. The story of it completely broke off from what it was in the first two. The wife has no connection to her past like in the second one whatsoever. I would not recommend this to anyone that loves the first two. If you don't want to ruin the series and have not seen this movie, then don't even think about watching this. I have never been so disappointed in a movie.",1226448000,"11 12, 2008"
Love this movie,1426809600,"03 20, 2015"
very slow moving and boring. saw previews and was really looking forward to this movie. big letdown and not worth the six or seven bucks i spent to watch it. not sure id even watch it on netflix for free,1383782400,"11 7, 2013"
"Classic comedy with and all star cast - maybe a sleeper, but a great movie should be added to anyone's collection",1390348800,"01 22, 2014"
Already left a review of this item. Love this item. Please don't force your customers to write more than they want just to fill a word quota. It is very annoying.,1395014400,"03 17, 2014"
Of course I haven't thought any of this series was particularly good. Seemed like an hour before anything even happened. It was a really weak offering. The 3rd one was the only one of these worth watching.,1399852800,"05 12, 2014"
"IF it weren't for Kevin James, I probably would NEVER take the time to view this kind of movie.  IT has it's moments of hilarity AND I'm planning on seeing the sequel on the BIG screen today. I give it 3 stars but I will never own it.",1430352000,"04 30, 2015"
trash,1456012800,"02 21, 2016"
"If you've read the books you'll say it's mostly accurate, but nothing really spectacular. If you haven't read the books, you'll scratch your head and wonder what just happened. I've read the books and the movie is OK. They should have made it longer or made it two movies. There seems to be a trend in action movie making these days. Slap together some highlights, who cares about content and making the story flow.",1395014400,"03 17, 2014"
"This ""Film"" version of the classic story by Charlotte Bronte is grossly overacted by Ciaran Hinds. Personally, I found him to be too harsh and cruel, barely even nice. However, Samantha Morton balanced it out quite well as the title character, though. I also didn't like the omission of the middle scenes with Mrs. Reed, which I feel are very important to the story. I prefer Timothy Dalton (4 years before he embodied the role of James Bond in ""The Living Daylights"") as Rochester. He was very well suited to the part; I read somewhere that he considers his role as Edward Rochester his personal favourite. Gemma Jones (""Sense & Sensibility"") was great as Mrs. Fairfax. If you're looking for a faithful version of ""Jane Eyre,"" I highly recommend the 1983 BBC miniseries starring Timothy Dalton, the 1944 version starring Orson Welles or the 1996 version starring William Hurt. This film version is Not Rated.",1249603200,"08 7, 2009"
"Unlike Dead man Down....this was a complete waste of money, time and energy watching....worst Costner movie I've ever seen.  Sucks.",1403136000,"06 19, 2014"
good family movie. A movie we can all watch with kids and have a good laugh and actually enjoy. We need more movies like this.,1398470400,"04 26, 2014"
"Ok, the first half of this movie was some of the best cinema I have ever seen.  The brother and sister characters had such great chemistry you really cared about both of them.  The scene on that country road was beautiful, and that filthy old truck coming up on them was enough to grab anyone's attention.  I was hooked.  But up until the time you discover who the driver of that truck is, and the mystery lady who's sole point was to explain to the audience where this thing came from and what its purpose was, it lost me.  I would still by this dvd however, I truly cannot watch it until the end it is laughable.  I give it an extra star for the first half of the film, that great truck, and the scene under the church.  Imagine if the driver of that truck would not have been what it actually was but instead a crazed serial killer with an interesting background.  I know there are those who would disagree with me and I say to them I loved the first half of this film, but the 2nd half didn't do it for me but I would still recommend it on a night when you want to see something somewhat interestingly creepy.",1135468800,"12 25, 2005"
Received this and love it! No problems at all,1443225600,"09 26, 2015"
Not to entertaining,1440633600,"08 27, 2015"
"You could say Oliver Stone over-directed this hyper movie but you can't say it's boring.  At over 2 1/2 hours it never slows down, and there's a really good cast including Pacino, Cameron Diaz, Jamie Foxx, Ann-Margaret, and James Woods.  You won't learn anything new about behind the scenes of pro football, but it's worth a rental.",970099200,"09 28, 2000"
"This is one of my favorite Gary Oldman movies.  So many twists and turns, just keeps you glued.  Got to keep feeding the hole.",1386374400,"12 7, 2013"
Bought for mom. She loves this movie and is very happy with it.,1432857600,"05 29, 2015"
Turned it off after a few minutes.,1412640000,"10 7, 2014"
"Not as good as the previous one, but it does take the story in a new direction.  If you liked the other ones this is a must see.  If you haven't seen any of the Mega Shark movies, don't start with this one.",1466121600,"06 17, 2016"
A classic must-see if you like romance films.,1416441600,"11 20, 2014"
wonderful,1414368000,"10 27, 2014"
"Nice attention to detail for the clothing, set and fight scenes. However, I'm only giving it 3 stars because I didn't like that a girl portrayed a boy during the entire movie and no attempt was made to tone down her obvious feminine clothing and physical features, as if nobody would notice!",1482624000,"12 25, 2016"
Great Gable Classic!,1404259200,"07 2, 2014"
This movie will have you rolling on your sides in laughter.,1410393600,"09 11, 2014"
This movie is OK.  It has a good message.,1453766400,"01 26, 2016"
OK,1439078400,"08 9, 2015"
"This is truly a movie for all ages. I enjoyed this film as a child, and still do today. I'm 26 years old and I ordered it FOR MYSELF!!! The songs are fun, Stanley the troll is endearing, and Rosie makes you wish she was yours! I give it a 4 star rating and not 5, because the fun is over way too soon!",1285891200,"10 1, 2010"
Good Old Movie. nuff said,1444089600,"10 6, 2015"
"Stupid did not like, there is nothing more to say just an awful movie, the amish should be embarrassed. Like Tim Allen he could do better.",1375660800,"08 5, 2013"
"you are better off watching Mr Holland's opus, which I rated five stars.",1440633600,"08 27, 2015"
Very interesting plot I still love William Hurts acting.,1503100800,"08 19, 2017"
Just OK nothing more,1443657600,"10 1, 2015"
"""I really like zombie movies but their are not enough political speeches or racist banter (which was supposed to be witty?) done to a distracting degree by all the main characters"" said no one ever. Horrible film.",1478304000,"11 5, 2016"
This was ok but several of the main characters from Torchwood are missing. It also didn't have the impact of Torchwood because it seemed to me like more of a political thriller than a sci-fi movie. I wouldn't watch it again.,1390867200,"01 28, 2014"
this is a great movie good acting and story line/ lot of adventure- the desperation of man on the run getting back to his family,1342828800,"07 21, 2012"
Good story.,1468022400,"07 9, 2016"
"As George Jung, Johnny Depp dons long blonde hair, a Boston accent and dark glasses. He portrays a man, who fearing poverty as a boy, makes all the wrong choices in obtaining wealth - first as a marijuana importer and finally as the kingpin in the rise of the cocaine empire.  Because he is a decent sort of fellow, not a monster, he is ousted by his Latin American contacts and winds up three times in prison, where he remains today, serving a sixty year sentence, until his planned release in 2015.It isn't until 42 minutes into the two hour film that cocaine even enters the picture (suggested by his cell mate during his first stay in prison, once he learns of George's marijuana empire). Jordi Molla as the cell mate, Diego, delivers the best performance in the film. He is riveting in all of his guises as friend, confidante, opportunity provider, and ultimate betrayer.  Equally good in support are Rachel Griffiths as George's loud mouthed, bitter mother and Ray Liotta as his long loving and long suffering father - a poignant betrayal.Unfortunately, the film has little value other than providing a history lesson in the rise of cocaine as an underworld marketing empire.  TRAFFIC is an interesting companion film to see.  Depp is most affecting in his last scenes, now sporting a paunch and dirty long hair, delusionally expecting his daughter's visit, an event which never occurs.The problem with the film in my opinion is that it lacks tension - it is too matter of fact.  We never see George's ambition - he is always too calm about everything that happens to him, good and bad.  We care about him but we don't engage with his character.  It is a marketing lie to show Penelope Cruz as his co-star. She doesn't appear in the film until the second half and then only in a few scenes as his second wife, a foul-mouthed five letter word.To sum up, it's a valuable history lesson but not great film.",1194739200,"11 11, 2007"
"No one i repeat no one can say or not say that there ae rules for punk rock. Punk is not what you wear it's not anarchy it's not something you can call yourself by having a mowhawk!!! it's a way of life it's an expression it is something that has been ruined by the media and hollywood. This has to be the most ignorant movie i have ever seen, and if people actually buy into it than thats their own fault. I was briefly entertained, but the simple fact that steve-o has set rules to be a punk rocker is bull-sh*t. I cant have a girfriend im a punk rocker. I can't be a sellout, so that means i can't like english bands?Rules are for your so called establishment, not for an anarchist. This movie is a giant oxymoron. Just the fact that steve-o comes from an upper class family contradicts his own moronic beleifs. go out and watch into  hell. If there ever was an acturate interpretation of the punk movement this is it. Or you could go to Hot topic and buy this movie and join the throngs of other people that actually believed it.",1084838400,"05 18, 2004"
refund wanted refused to keep working,1444867200,"10 15, 2015"
Stopped watching after about an hour as the movie just never seemed to be going anywhere.  There were a few laughs but neither the comedy or plot held my attention long enough to keep me interested.,1415577600,"11 10, 2014"
boring,1448323200,"11 24, 2015"
EXCELLENT,1404691200,"07 7, 2014"
Good show!,1412812800,"10 9, 2014"
No special features for the 20th season!!@! Really? You guys over there are a bunch of idiots and i'm glad people are rating this release so low.,1281571200,"08 12, 2010"
Didn't care for it,1469232000,"07 23, 2016"
I couldn't even finish it...  I typically like Mark Wahlberg and the Rock but I just couldn't get into the plot for this show.,1443139200,"09 25, 2015"
Ok,1459728000,"04 4, 2016"
disappointed,1464566400,"05 30, 2016"
Don't waste your time. Very. Bad. Script.,1483920000,"01 9, 2017"
"this is one freaky ass movie . . . I had a hard time believing that the taxi driver was de Niro until almost the end of the flick . . . this movie ranks right up there with Dog Day Afternoon . . . a depiction of the mind set of Tea Party Republicans, Mitt Romney and John (Boner) Boehner . . . wake up Amurica !!",1389139200,"01 8, 2014"
A Great Movie that didn't forget to have fun at everyone's expense. it still gives me a belly laugh after all of these years.,1441065600,"09 1, 2015"
Wonderful movie,1425081600,"02 28, 2015"
This movie is still awe inspiring to today's youth. My 9 year old loved the movie for multiple reasons.,1418169600,"12 10, 2014"
Not bad.  Special effects are a little dated.,1477958400,"11 1, 2016"
Fair,1472428800,"08 29, 2016"
Please tell 'em that Amazon is going to lose me as a reviewer if they make it complicated!  Five stars means that I got the order promptly and in good condition!  I don't know how to communicate with them.,1184198400,"07 12, 2007"
"I ordered this boxed set for a friend who is a big Rock Hudson fan specifically because the information said it had English subtitles.  My friend has severe hearing loss.  There are NO subtitles, English or otherwise, and no closed captioning.  Set is being returned.",1479081600,"11 14, 2016"
Melissa isn't good being so mean and nasty. Spy is her best film.,1475884800,"10 8, 2016"
I thought this would be campy but after a half hour I decided I'd prefer to stare at the walls.,1418774400,"12 17, 2014"
great movie!,1472428800,"08 29, 2016"
NOT PARTICULARLY GOOD...,1405468800,"07 16, 2014"
none,1443484800,"09 29, 2015"
"Just terrible, I quit watching after 25 minutes.  Strange political garbage.",1439596800,"08 15, 2015"
Ok movie wasted an hour or so watching it.Will smith played will smith.,1441065600,"09 1, 2015"
"""Brilliant""'  ""masterpiece""-sure if you're into young kids being killed throughout the movie, I have 2 young sons at home and this movie scared the you know what out of me-I just don't get it.",1353542400,"11 22, 2012"
Terrible movie.  Just terrible.  Don't waste your time. We watched it because it had Mark Wahlberg and the Rock and we like their other movies.  Don't do it!,1425081600,"02 28, 2015"
"This movie is very powerful and is certainly deserving of its Top 100 AFI rating.  This is the story of madness and the slow decent into criminal violence that it leads Taxi Driver Bickle when he sees it as the only way out of a hopeless situation.  Loneliness can be a terrible thing to deal with and while most people struggle with it and choose a more conventional and healthy solution others with mental illness or who are prone to it ""choose"" different paths that may lead to self-destruction or as in the case of Travis Bickle, vigilante-ism and taking the law into his own hands to set things ""right.""  The lonely angry psychopath who reacts in this way is the ticking time bomb that unfortunately is almost never recognised until the effects of their madness come to fruition e.g. the Unabomber etc.  DeNiro does an excellent job in portraying this individual and is genuinely scary in his role; even scarier is the realisation that perhaps at some point in our lives the vast majority of us have at least contemplated taking things into our own hands and so to some extent perhaps even identify and even find ourselves rooting for Travis.  The violent end may have shocked 70s audiences and you get the sense that Scorcese even toned it down a little for fear of a public backlash but it's interesting to me that as violence in film has been getting worse and worse over the years, I felt that it was pretty tame given what we are exposed to these days e.g ""Kill Bill"", ""Blade"" etc and I thought the final scenes were not violent enough relative to today's films.  Ironically, Bickle is treated as a hero and is not punished for his murders in the end which is also interesting as this ticking time bomb is released into the streets in an ominous ending which leaves us expecting a sequel of some sort.  I would like to see a Director's Cut of this movie and to see how Scorcese would ""modernise"" this brilliant film for today's audiences.  In my opinion, this is the best film since ""Midnight Cowboy"" to expose the seady side of the 70s New York City underbelly although it is just as powerful a film for its impact on its audience.This dvd version of the film though is a bit of a mixed bag as although the picture and sound quality have been cleaned up the sound quality in 2 channels isn't very good and I'm glad that in the newer 2-Disc and upcoming Blu-ray versions you'll get the Dolby Digital 5.1 Surround sound option which I hope sounds much better than what we get here.  The picture quality isn't perfect as a few frames here and there have spots and other imperfections on them but I thought it was done well enough to not detract from the overall viewing enjoyment.  The Special Features includes a good making-of documentary with interviews with Scorcese and the cast.Overall this is a great study into the lone, crazed anti-hero and is certainly one of the better films that I've ever seen.  You may however want to give this particular dvd version a miss and go instead for either the Blu-ray or the other 2-disc standard version with the improved sound quality.Updated 1 July 2011: 4 stars.Amazon won't let me review this separately and so I'll do it here.  The blu-ray release of this wonderful Scorcese classic is a treat for fans as it certainly improves upon the dvd release that I reviewed above.  The digipak packaging with a number of colour postcards is very nice.  The all important picture and sound quality have also improved a great deal although the picture quality isn't perfect as there is still excessive grain in some parts especially in the scene in the brothel when DeNiro first speaks with Foster as well as in other spots but it is still an improvement over the dvd.  The sound quality is now in excellent surround mode and is the aspect most improved over the dvd version.Not perfect picture quality-wise but still worth the double-dip.Recommended!",1229817600,"12 21, 2008"
my daughter and grand daughter love this film.,1420329600,"01 4, 2015"
"A sweet story about dedication, loyalty, hurt and love. Ms. Wood's performance was good and was a good match for pretty boy Scott.",1425340800,"03 3, 2015"
"A few laughs, but a cheaply made movie that wasn't very good.",1478304000,"11 5, 2016"
Ok,1463011200,"05 12, 2016"
nasty movie,1439856000,"08 18, 2015"
Great movie... Good old non pc humor,1448064000,"11 21, 2015"
"I really enjoyed this movie, and I highly recommend it.",1451174400,"12 27, 2015"
I think this title should be freethe quality of the recording is not good.,1417392000,"12 1, 2014"
"While it is mostly Biblically accurate, nevertheless this is a very lackluster re-telling, being obviously low-budget. The most dramatic and emotional scene for me was when Mary Magdalene's tears fell on Jesus's feet and she wiped them with her hair. The scourging scene lacked any impact, probably not to horrify the audience. According to evidence from the Holy Shroud of Turin and the witness of several Catholic mystics, His scourging was absolutely heart-rending in its horror. Of course, this being an obvious Protestant production, they gave short shrift to Jesus's mother, Mary! Maybe that is why they chose Luke, instead of using material from Matthew, Mark or John!!! I guess what I am looking for is a good Catholic rendering. Any good Catholic out there have about $100,000,000 (or possibly less), as I am ready to do it right!!!",988588800,"04 30, 2001"
Could not play in Louisiana.,1448409600,"11 25, 2015"
ok,1451433600,"12 30, 2015"
great movie,1429228800,"04 17, 2015"
We have watched this movie every year since it came out so I thought it was about time to buy it on DVD.  It never gets old even though we can all say the dialogue along with the characters and sing the songs too.  Our kids are now 18 & 16 and this is still the first Christmas movie they want to watch!Merry Christmas!,1377648000,"08 28, 2013"
Really tries hard to catch that Funny Games vibe but just doesnt.,1439769600,"08 17, 2015"
"I found this DVD to be very educational and entertaining.  As disturbing as some of the content, I feel it is a story that need to be told.",1392854400,"02 20, 2014"
Just the right blend of humor and sarcasm! Loved it,1406419200,"07 27, 2014"
"loved the movie, and it really looked like the movies in blue-ray",1441584000,"09 7, 2015"
a bit slow and not a good plot.,1416787200,"11 24, 2014"
I've just begun watching...might give it more stars down the road.  The relationships are complicated.,1465948800,"06 15, 2016"
Another great old classic film.,1519257600,"02 22, 2018"
EASTWOOD AT HIS WILD WEST BEST...,1501891200,"08 5, 2017"
DO NOT BUY THIS VERSION! VERY POOR VIDEO AND AUDIO! IT LOOKS LIKE A COPY OF A VERY LOUSY VHS VERSION,1119657600,"06 25, 2005"
ok,1444003200,"10 5, 2015"
"I have not seen this in years, but I remember it is one of the funniest movies I have ever seen. It is very unique, has some great lines, and John Cusack is terrific. I don't know what else to say, just see it and you will get a lot of laughs out of this one.",1310774400,"07 16, 2011"
"George C. Scott as Patton is perfect in every way. This movie is about Patton but it is also about WWII and tells all well. If you a history buff, you must see this film. Great in every way. Recommend to all.",1362182400,"03 2, 2013"
ok,1455667200,"02 17, 2016"
"I couldn't get further than the first 30 minutes of this flick.  I don't know if it was the crass subject matter, the ""flat"" acting, or maybe I just wasn't in the type of movie mood I thought I was.  Either way, I turned it off.",1445558400,"10 23, 2015"
thank,1429920000,"04 25, 2015"
"I wasn't really sure about this movie when I bought it I just knew it was controversial back when it was made and I have to say it was just a weird movie. I wouldn't recommend it to buy, if you want to watch it see if a friend has it.",1404864000,"07 9, 2014"
"This is a video of a one-person play done expertly by Julie Harris. Don't expect a movie of the life of the poet. It allowed for different camera angles, so interest is maintained. If you like exceptional stage acting, you will find it here.",1440633600,"08 27, 2015"
It says its based on a true story. Thats the only thing interesting about it.The plot and the acting are boring. Its a forgettable movie.,1389657600,"01 14, 2014"
Another stupid movie. I couldn't watch it past half.  Its incredibly insane.  I have rarely seen such an idiotic story before.,1445126400,"10 18, 2015"
"I rented the film for $1.99 because I found the sale price way too high.  It's a charming, funny, lighthearted spoof of the secret agent genre.  I'm a big Michael Crawford fan and this is the only work available where he's not lost in the character like Forum or Dolly. I wish he'd done more film work post-Phantom of the Opera. He has a true gift for comedy.",1287532800,"10 20, 2010"
I hate being the one to say that the book was so much better but in this case it was. This movie just cut out way to much. If I hadn't read the book I would have had very little Idea as to what was going on in this movie.,1456617600,"02 28, 2016"
"Waste of time.  Over rated movie, too much camera movement from secondary camera filming as a ""documentary"" side. Very disappointed",1473897600,"09 15, 2016"
I like that it has both the original and enhanced episodes.,1423008000,"02 4, 2015"
"I first saw this film when I was eleven. My father taped it, and when I was thirteen, I watched the tape again and again. Being that young, I could not understand the symbolism involved, I simply knew that the movie was ""beautiful."" Each time I watched ""A River Runs Through It"", it grew in me, as if I felt a deeper sense of spiritual awakening just from seeing the movie. Now I am 21 years old and an English major, so the symbolism is much clearer.In the film, there are two brothers, Paul and Norman. The father, the Reverend MacLean teaches the two brothers how to cast a fishing rod. The two learned to cast with a four count rhythm, with a metronome playing. The narrator Norman says of his father: ""If he had had his way, no one who did not know how to catch a fish, would be allowed to disgrace a fish by catching it."" It becomes clear that this simple way to catch fish, using a four count rhythm, is graceful. If a fly-fisherman swings his rod too powerfully, it might become stuck in some trees. If he swings too weakly, it will never go into the stream where the fish are biting. But the four count rhythm method of casting, is ""just right.""Paul is a rebellious, golden-haired youth. His rebellion starts early when he refuses to eat his porridge. He gets into a fight with his older brother Norman, but all is forgiven. The next day, Norman watches his little brother break free of his father's ""four count rhythm."" He has rebelled into something courageous and original. Though despite its own unique beauty, its gracefulness is different than Norman and his father. It has less control. He calls it ""shadow casting"" later in life. Like the ""shadow casting"" Paul's life has less structure than Norman's.Norman has always had that spiritual grace that comes with swinging the rod just right. It's almost as if he has spiritual gifts as well as his academic ones. (Norman receives a masters degree and becomes a professor.)Paul's spiritual gifts are no less important, but they are not sustainable, because they lack the discipline and the structure of Norman. Despite his sad outcome, Paul's fishing and his life are ""beautiful."" They are beautiful because you can love them ""completely, without complete understanding.""I wish other films were made now like this one. It is extremely effective as a spiritual project because it not only conveys the message, but the viewer feels the message, the way I had when I was thirteen. It inspired me to stay in my best structure, like Norman had.",1136073600,"01 1, 2006"
In a word: trash.,1420761600,"01 9, 2015"
This movie was really dramatic and I liked watching all of the people jump off and people screaming and then the power goes out!!!!!!!!!!!!!! I liked the part when Rose went down to save Jack because the water is so high and she's rushing to get there before the water gets to the top!!!!!!!!!! This is the best dramatic movie EVER!!!!!!!!!!!!!!! You should buy this movie!!!!!!!!!!!! (Except for little kids).............................,1113696000,"04 17, 2005"
No digital copy.  Any movie purchased after 2010 should have a digital copy attached to it.,1458950400,"03 26, 2016"
I enjoyed this film.  Will be worth watching again.,1479168000,"11 15, 2016"
"Slow film, very, very slow. And I LOVE Elizabeth Taylor! She is my idol! I couldn't finish the film. I kept falling asleep.",1462492800,"05 6, 2016"
"Always enjoyed Time Bandits except for the ending. Very strange and not satisfying at all; of course, there are a lot of Monty Python players in the movie and so the ending is very fitting for their style.",1372809600,"07 3, 2013"
I was happy to see this movie again :) gotta love that silver flying killer ball,1476230400,"10 12, 2016"
I love Errol Flynn - but he was just putting in time to make money. It is pretty awful to watch,1440201600,"08 22, 2015"
It was a movie I had watch when it first came out loved it then and still like it today,1403136000,"06 19, 2014"
good movie,1421884800,"01 22, 2015"
THIS GOOD QUALITY DVD IS AN EXCELLENT RENDITION OF THE ORIGINAL MOVIE. GREAT WAR STORY AND AN EXCELLENT JAMES GARNER MOVIE.,1394755200,"03 14, 2014"
Worst movie ever.  I can't believe it!  This is time I can never get back.,1471996800,"08 24, 2016"
I loved this movie it was one of the best movies out there.,1415577600,"11 10, 2014"
b,1512864000,"12 10, 2017"
"Meh.Mediocre plot, weak script, mediocre acting...Forgettable.Such a shame, because with some talented writing, the plot had potential.",1503273600,"08 21, 2017"
"Good fun movie about immortals fighting to the death throughout the centuries till only one remains.  Cheesy and dated, yet enjoyable entertainment.",1479168000,"11 15, 2016"
so so movie. Robert De Niro always reminds me of a gangster. Gritty story,1462233600,"05 3, 2016"
A must purchase.  Page and Plant never get old.,1487030400,"02 14, 2017"
"Bought these for my Husband as this was his favorite show as a kid and he wanted to own them and see them again. He re-watched the whole series in a matter of weeks, still enjoyed it.",1473552000,"09 11, 2016"
It's was a good movie. I think people should rent it or buy it.,1454544000,"02 4, 2016"
Meh.,1447113600,"11 10, 2015"
"A great Halloween movie for kids without blood, gore, or frightening images.",1413676800,"10 19, 2014"
Dont waste your time! Other than the stunning HD content the story line was horrible.,1415232000,"11 6, 2014"
This was a really good movie right up until the end.  The end pretty much ruined the rest of the movie it was so cheesy and far fetched I felt cheated for the time I spent watching the first half.,1470700800,"08 9, 2016"
"Fright Night is one of the better vampire films from the 80's.  The special effects are gruesome and scary yet the movie is also sexy and fun too.  Yes it's from the 80's and it shows in a few places, but the movie still holds up very well today.  This movie was released in limited edition Blue-ray back in 2011.  The picture and sound of this edition look great.  The only thing keeping me from giving this edition 5 stars is the lack of extras.  They should have put a little more effort into this edition.  Audio commentary, deleted scenes, and retrospective interviews with the cast and film makers would have been nice.",1330214400,"02 26, 2012"
"Started OK, but then became predictable & therefore boring.",1430092800,"04 27, 2015"
"It has a slow beginning, but at the end it gives a good lesson.",1464134400,"05 25, 2016"
needs work,1501891200,"08 5, 2017"
"This is one of those films that you either love it or hate it! I know it's silly........I know one of the stars doesn't have one word of dialogue, but I love this film! It's got sexy girls and lots of stock animal footage...add a memorable fun ending and you got....'Captive Wild Woman'! This is available on DVD on Universal Horror an exclusive at Best Buy. The transfers are very good for all 5 film and there are some trailers. Hurry before they're gone!",1204675200,"03 5, 2008"
it was awkward. I personally hated Ally...,1412899200,"10 10, 2014"
"Entertaining,  Cagney was quite good in this;  the picture is not top level production, but I liked it anyway.",1443571200,"09 30, 2015"
Good movie,1413676800,"10 19, 2014"
"At least, that's what he has implied by ruining both Resident Evil and Aliens vs. Preditor. Why oh why did Sony choose him over George Romero? He had a script ready to go, and then Anderson walked in and offered to do it for less money, and that was that. The same thing can be said about Aliens vs. Preditor. Dream projects like AVP and RE will never be safe so long as Paul Anderson is making movies.If you want the real Resident Evil expirience, I suggest you play the remake of the first game on Gamecube. If you desire a non-interactive adaptation of the games, read the books. If you must see just how badly Anderson botched up the RE mythology, then by all means see the movies. But be forwarned, they suck. What could have been an excellent horror film adaptation of a classic game turned into a C grade action movie flop.",1094947200,"09 12, 2004"
"So, so!",1433462400,"06 5, 2015"
"The movie arrived promptly but when played, parts of the dialogue could not be heard at all which made the movie less enjoyable for everyone watching...but especially the children.",1364256000,"03 26, 2013"
Waste of time only reason i looked  at it because Jet Li was in it!,1476144000,"10 11, 2016"
"I bought this tape in 2000.  I enjoyed this workout for about a month and finally had enough.  Don't get me wrong you can get a good cardio workout.  But I found the music, instructor,the dancers and costumes annoying.  I would not recommend this video to anyone unless I time traveled back to 1995!",1120780800,"07 8, 2005"
So bad we did not finish it.,1469491200,"07 26, 2016"
"I watched about 20 minutes, and shut if off.",1461024000,"04 19, 2016"
I love movies that are inspirational and that makes me happy also feel good about myself. This movie provided all that for me.,1368144000,"05 10, 2013"
I love this film. Love truly has no boundaries.,1417737600,"12 5, 2014"
"Interesting story, but the plot seemed to drag after the first 45 minutes or so.  Reminded me a lot of 'pushing tin'.",1367539200,"05 3, 2013"
The script needed a lot of work that it did not get; a waste of some top line talent.,1440374400,"08 24, 2015"
"Terribly depressing!  This can't really be called a comedy, can it?",1409788800,"09 4, 2014"
WWE know the formula for action movies and this is another example.  There are no surprises or shocking plot twists but plenty of action and pretty scenery.,1366848000,"04 25, 2013"
"Poor camera quality, bad acting, and jokes that just aren't funny. It's like watching a home movie while the camera man pretends that his voice is the dogs.....now imagine worse and you have wasted less time than if you would have watched this movie.",1528934400,"06 14, 2018"
"A funny tail. Duck Tail, Ha!",1441756800,"09 9, 2015"
"I appreciate what they were trying to do, but unfortunately it didn't come out all that great.This thing takes WAY too long to get going. Almost an hour in, she is just getting to the house. I mean come on. Then she just walks around the house for a while. Still not much happening and then in the last 20 mins, a movie happens, one which is so so.I can't recommend this movie",1469404800,"07 25, 2016"
"I personally just didn't like this movie but love Jim Carrey. But it seemed really slow and was boring too me. :( Sorry, just my opinion though. Someone else might love it.",1385596800,"11 28, 2013"
B movie all the way,1473292800,"09 8, 2016"
They sent me a VHS not a DVD was not happy with this purchase. I would like a DVD Not a VHS,1391990400,"02 10, 2014"
Just ok....nothing to write home about,1518048000,"02 8, 2018"
My husband watched this movie and said it was wonderful.  He loves western movies....,1454716800,"02 6, 2016"
"Family movie suitable for young children. Don't expect too much if you're over the age of thirteen, though. A little silly and unrealistic, but cute.",1448150400,"11 22, 2015"
